Serial  Exact_Count  Global_Count  Error
309  64197  64271.3  0.115673
310  64639  64484.2  0.239471
311  65126  65021.3  0.16072
312  65511  65238.5  0.415996
313  65907  65457.8  0.681597
314  66428  66009.3  0.630239
315  66847  66455.4  0.585863
316  67231  66906  0.483376
317  67606  67246.1  0.532302
318  68079  67820.1  0.380259
319  68404  68167.9  0.345187
320  68891  68870.8  0.0292902
321  69255  69224.9  0.0434046
322  69668  69344.2  0.464785
323  70071  69705.6  0.521533
324  70429  70069.3  0.510749
325  70905  70314.9  0.832227
326  71387  70561.6  1.15625
327  71830  70936.8  1.24355
328  72290  71316  1.34738
329  72797  71824.1  1.3364
330  73241  71952.2  1.75963
331  73727  72081.7  2.23164
332  74121  72081.7  2.75134
333  74593  72213.2  3.19032
334  75045  72478.9  3.41945
335  75499  73015.7  3.28916
336  75879  73557  3.06019
337  76277  73967.8  3.02733
338  76798  74519.2  2.96731
339  77276  74658.1  3.38779
340  77744  75217.5  3.24974
341  78181  75217.5  3.79054
342  78667  76073.8  3.29639
343  79136  76650.1  3.1413
344  79615  77087.3  3.17489
345  80162  77526.7  3.28746
346  80652  77821.5  3.50958
347  81135  78417.4  3.34943
348  81552  78867.1  3.29226
349  82114  79624.1  3.03226
350  82652  80083.3  3.10781
351  83134  80699.1  2.92891
352  83546  81011.1  3.03416
353  83989  81482.1  2.98478
354  84451  82432  2.39078
355  84869  82752  2.49444
356  85326  83397  2.26079
357  85849  84046.3  2.0998
358  86351  84537.9  2.09973
359  86801  85033.2  2.03665
360  87272  86032.7  1.42
361  87847  86536.6  1.49173
362  88326  86705.3  1.83486
363  88806  87045.9  1.98201
364  89371  87390.3  2.21625
365  89915  87737.1  2.42223
366  90464  88785.6  1.85538
367  90935  89316.4  1.77991
368  91468  89494.5  2.15755
369  92077  89673.6  2.61017
370  92651  90215.8  2.62839
371  93217  91126  2.24315
372  93684  91676.3  2.14308
373  94167  92046.7  2.25164
374  94640  92978.7  1.75536
375  95137  93355.9  1.87216
376  95716  93735.1  2.06954
377  96209  93926.9  2.37205
378  96744  94504.7  2.31463
379  97207  94892.4  2.38107
380  97762  95677  2.13268
381  98233  96268.1  2.00029
382  98777  96467  2.33857
383  99227  96868  2.37737
384  99753  97677.7  2.08049
385  100253  98287.3  1.96071
386  100822  99108.7  1.69938
387  101338  99522.7  1.79134
388  101816  99940.6  1.84193
389  102302  100151  2.10299
390  102834  100784  1.99328
391  103436  101424  1.94513
392  103969  101854  2.03444
393  104459  102286  2.08012
394  104977  102723  2.14705
395  105459  103162  2.17775
396  105979  103384  2.4486
397  106556  103830  2.55865
398  107159  104954  2.05805
399  107626  105407  2.06198
400  108180  105634  2.35313
401  108708  107243  1.3479
402  109331  107474  1.69819
403  109769  108408  1.23976
404  110349  108408  1.75885
405  110806  108645  1.94997
406  111346  109601  1.56687
407  111849  109601  2.00954
408  112462  110329  1.89641
409  112998  111062  1.7132
410  113448  111062  2.10307
411  114034  111804  1.95523
412  114540  112053  2.17127
