Serial  Exact_Count  Global_Count  Error
318  68079  68039.5  0.0579701
319  68404  68371.9  0.0469127
320  68891  68635.1  0.371487
321  69255  69092  0.235366
322  69668  69673.8  0.00838846
323  70071  70112.3  0.0590055
324  70429  70480.1  0.0725252
325  70905  70874.8  0.0425878
326  71387  71321.7  0.0915232
327  71830  71921.4  0.127242
328  72290  72197.9  0.127366
329  72797  72880.8  0.115066
330  73241  73389  0.202038
331  73727  74003.2  0.374677
332  74121  74260.8  0.188623
333  74593  75037.6  0.596025
334  75045  75793.1  0.996925
335  75499  76186.1  0.910115
336  75879  76634.1  0.995186
337  76277  77085.4  1.05977
338  76798  77619  1.0691
339  77276  77994.9  0.930272
340  77744  78696.6  1.2253
341  78181  79158.5  1.25034
342  78667  79841.6  1.4931
343  79136  80720.8  2.00266
344  79615  81052.6  1.80572
345  80162  81664  1.87373
346  80652  82083.4  1.77473
347  81135  82364.7  1.51557
348  81552  82930.2  1.68994
349  82114  83300  1.44433
350  82652  84043.3  1.68333
351  83134  84475.1  1.61315
352  83546  84995.6  1.73513
353  83989  85723.2  2.06484
354  84451  86308.5  2.19951
355  84869  86926.8  2.42465
356  85326  87726.3  2.81309
357  85849  88500.1  3.08812
358  86351  88948.9  3.00852
359  86801  89309.9  2.8904
360  87272  89794  2.88981
361  87847  90280.9  2.7706
362  88326  90648  2.62894
363  88806  91047.5  2.52407
364  89371  91758.8  2.67175
365  89915  92443.2  2.81174
366  90464  92818.5  2.60266
367  90935  93321.5  2.62436
368  91468  93827.2  2.5793
369  92077  94240.5  2.34969
370  92651  94847.8  2.37109
371  93217  95715.6  2.6804
372  93684  96168  2.65151
373  94167  96947.8  2.95302
374  94640  97633.2  3.16271
375  95137  98158.4  3.1758
376  95716  98752.3  3.1722
377  96209  99183.5  3.09169
378  96744  99717.3  3.07338
379  97207  100288  3.16923
380  97762  100894  3.20418
381  98233  101539  3.36525
382  98777  102118  3.38207
383  99227  102357  3.15448
384  99753  102702  2.9559
385  100253  103151  2.89106
386  100822  103534  2.69017
387  101338  104199  2.82286
388  101816  104726  2.85767
389  102302  105008  2.64528
390  102834  105754  2.83909
391  103436  106396  2.86149
392  103969  106898  2.81709
393  104459  107186  2.61074
394  104977  107585  2.48388
395  105459  108094  2.49893
396  105979  108827  2.68706
397  106556  109416  2.68358
398  107159  110266  2.89979
399  107626  110638  2.79839
400  108180  110974  2.58266
401  108708  111425  2.49917
