Serial  Exact_Count  Global_Count  Error
291  56813  54100  5.63865e-309
292  57257  54600  5.63878e-309
293  57638  54900  5.6388e-309
294  58049  55500  5.63889e-309
295  58372  56000  5.63969e-309
296  58784  56600  5.63984e-309
297  59129  56700  5.63993e-309
298  59523  57100  5.64007e-309
299  59950  57500  5.64012e-309
300  60332  58000  5.64022e-309
301  60719  58800  5.64022e-309
302  61237  59400  5.64026e-309
303  61702  59600  5.64033e-309
304  62120  60100  5.64039e-309
305  62503  60100  5.64048e-309
306  62917  60500  5.64063e-309
307  63311  60800  5.64071e-309
308  63715  61100  5.64128e-309
309  64197  61600  5.64156e-309
310  64639  62200  5.64207e-309
311  65126  62600  5.64224e-309
312  65511  62800  5.64254e-309
313  65907  63000  5.64279e-309
314  66428  63600  5.64279e-309
315  66847  63900  5.64281e-309
316  67231  64300  5.64326e-309
317  67606  64300  5.64372e-309
318  68079  64400  5.64374e-309
319  68404  64700  5.64377e-309
320  68891  65500  5.64396e-309
321  69255  65800  5.64419e-309
322  69668  66100  5.64425e-309
323  70071  66600  5.64519e-309
324  70429  66900  5.64548e-309
325  70905  67200  5.64578e-309
326  71387  67600  5.64589e-309
327  71830  68400  5.64623e-309
328  72290  68700  5.64657e-309
329  72797  69600  5.64667e-309
330  73241  70000  5.64669e-309
331  73727  70000  5.64742e-309
332  74121  70400  5.64826e-309
333  74593  70900  5.6485e-309
334  75045  71700  5.64875e-309
335  75499  72100  5.64918e-309
336  75879  72300  5.64922e-309
337  76277  72500  5.64941e-309
338  76798  73200  5.64954e-309
339  77276  73600  5.64977e-309
340  77744  74100  5.64981e-309
341  78181  74600  5.65005e-309
342  78667  75300  5.65013e-309
343  79136  75900  5.65045e-309
344  79615  76400  5.65054e-309
345  80162  76900  5.65087e-309
346  80652  77200  5.65096e-309
347  81135  77700  5.651e-309
348  81552  78300  5.65104e-309
349  82114  78700  5.65107e-309
350  82652  79200  5.6513e-309
351  83134  79800  5.65183e-309
352  83546  80600  5.65194e-309
353  83989  81000  5.65217e-309
354  84451  81600  5.65238e-309
355  84869  81900  5.65276e-309
356  85326  82300  5.65319e-309
357  85849  82800  5.65321e-309
358  86351  83400  5.65361e-309
359  86801  83700  5.65374e-309
360  87272  84200  5.65387e-309
361  87847  84500  5.65427e-309
362  88326  85200  5.65467e-309
363  88806  85400  5.6548e-309
364  89371  86100  5.6548e-309
365  89915  86500  5.6548e-309
366  90464  86900  5.65499e-309
367  90935  87600  5.65527e-309
368  91468  87800  5.65586e-309
369  92077  88900  5.65624e-309
370  92651  89300  5.65624e-309
371  93217  89900  5.65635e-309
372  93684  90000  5.65673e-309
373  94167  90500  5.65709e-309
374  94640  91200  5.65771e-309
375  95137  91600  5.65786e-309
376  95716  92200  5.65792e-309
377  96209  92300  5.658e-309
378  96744  93100  5.6582e-309
379  97207  93700  5.65843e-309
380  97762  94500  5.65856e-309
381  98233  95300  5.65868e-309
382  98777  95800  5.65892e-309
383  99227  95900  5.65953e-309
384  99753  96000  5.65994e-309
385  100253  96700  5.66002e-309
386  100822  97200  5.66019e-309
387  101338  97500  5.66061e-309
388  101816  97700  5.66129e-309
389  102302  98600  5.66155e-309
390  102834  99300  5.6617e-309
391  103436  100300  5.66282e-309
392  103969  100600  5.66312e-309
393  104459  101400  5.6632e-309
394  104977  101800  5.66348e-309
395  105459  102300  5.66356e-309
396  105979  102900  5.66363e-309
397  106556  103200  5.66395e-309
398  107159  103600  5.66409e-309
399  107626  104000  5.66437e-309
400  108180  104100  5.66469e-309
401  108708  104500  5.66482e-309
402  109331  104700  5.66488e-309
403  109769  105100  5.66533e-309
404  110349  105900  5.6655e-309
405  110806  106200  5.66552e-309
406  111346  106700  5.66564e-309
407  111849  107300  5.666e-309
408  112462  108000  5.66654e-309
409  112998  108100  5.66662e-309
410  113448  108400  5.66662e-309
411  114034  108700  5.66664e-309
412  114540  109100  5.66679e-309
413  115122  109400  5.66715e-309
414  115689  109900  5.66717e-309
415  116261  110400  5.66724e-309
416  116819  111100  5.66738e-309
417  117448  111700  5.66762e-309
418  117993  112300  5.66764e-309
419  118574  113100  5.66806e-309
420  119121  113700  5.66836e-309
421  119673  114200  5.66885e-309
422  120365  115400  5.66923e-309
423  120949  116000  5.66965e-309
424  121558  116700  5.66978e-309
425  122116  117500  5.66987e-309
426  122691  117600  5.67012e-309
427  123298  118100  5.67012e-309
